GTIN,Quelle
9120069140125,ecoinform
42183129,data_nature
42226796,data_nature
4260166240061,data_nature
4260166240221,data_nature
4260166240436,data_nature
4260166240412,data_nature
4260166240122,data_nature
4260166240146,data_nature
4260166240276,data_nature
4260166240467,data_nature
4260166240658,data_nature
4260166240191,data_nature
4260166240269,data_nature
4260166240559,data_nature
4260166240573,data_nature
4260166240184,data_nature
4005906002079,data_nature
4005906002062,data_nature
4005906002048,data_nature
4005906003731,data_nature
4005906003724,data_nature
4005906002789,data_nature
4005906003700,data_nature
4005906003717,data_nature
4005906002758,data_nature
4005906002772,data_nature
4005906002802,data_nature
4005906002796,data_nature
4005906002932,data_nature
4005906002956,data_nature
3360102280012,data_nature
3360102290011,data_nature
3360102300017,data_nature
3360100370104,data_nature
3360100380103,data_nature
3360100270107,data_nature
3360100300101,data_nature
3360100280106,data_nature
3360100320109,data_nature
3360100290105,data_nature
4270000814433,data_nature
4270000814457,data_nature
4270000814464,data_nature
4270000814488,data_nature
4260096392908,data_nature
4260096395978,data_nature
4260096395886,data_nature
4260096395879,data_nature
4260096395893,data_nature
4260096397644,data_nature
4260096393189,data_nature
4260096393172,data_nature
4260096395145,data_nature
4260096395152,data_nature
4260096395169,data_nature
4260096393424,data_nature
4260096393431,data_nature
4260096393493,data_nature
4260096392588,data_nature
4260096392564,data_nature
4260096393257,data_nature
4260096393271,data_nature
4260096393264,data_nature
4260096394537,data_nature
4260096392618,data_nature
4260096394513,data_nature
4260096392625,data_nature
4260096394582,data_nature
4260096394544,data_nature
4260096392816,data_nature
4260096392663,data_nature
4260096392649,data_nature
4260096392687,data_nature
4260096393288,data_nature
4260096392946,data_nature
4260096392953,data_nature
4260096392939,data_nature
4260096392885,data_nature
4260096392878,data_nature
4260096392861,data_nature
4260096393370,data_nature
4260096393363,data_nature
4260096395367,data_nature
4260096395442,data_nature
4260096395619,data_nature
4260096395398,data_nature
4260096395404,data_nature
4260096395480,data_nature
4260096395473,data_nature
4260096395336,data_nature
4260096395466,data_nature
4260096393295,data_nature
4260096395381,data_nature
4260096395718,data_nature
4260096395459,data_nature
4260096395374,data_nature
4260096395572,data_nature
4260096395558,data_nature
42431756,data_nature
4260096395589,data_nature
4260096395350,data_nature
4260096395343,data_nature
4260096395527,data_nature
4260096395534,data_nature
4260096395503,data_nature
4260096395695,data_nature
4260096395725,data_nature
4260096395749,data_nature
4260096395831,data_nature
4260096395824,data_nature
